address,ID,First_Due_Date,First_Payment_Month,DisbursementMonth,DisbursementDate,loanamount,LOANNAME,totaldue,TERM,Paidflag
Kano,92000600,2021-03-08,2021-03-01,2021-02-01,2021-02-07,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
FCT,92000601,2021-03-08,2021-03-01,2021-02-01,2021-02-07,6600.0000000000,"Nano Loan - NTB Final",2046.00,3,paidin7
Lagos,92000610,2021-03-08,2021-03-01,2021-02-01,2021-02-07,13600.0000000000,"Nano Loan - NTB Final",4216.00,3,paidin7
FCT,92000636,2021-03-08,2021-03-01,2021-02-01,2021-02-07,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Lagos,92000651,2021-03-08,2021-03-01,2021-02-01,2021-02-07,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Lagos,92000654,2021-03-08,2021-03-01,2021-02-01,2021-02-07,20000.0000000000,"Nano Loan - NTB Final",6000.00,3,paidin7
Lagos,92000667,2021-03-08,2021-03-01,2021-02-01,2021-02-17,8700.0000000000,"Nano Loan - NTB Final",1827.00,3,paidin7
Lagos,92000679,2021-03-08,2021-03-01,2021-02-01,2021-02-08,7600.0000000000,"Nano Loan - NTB Final",2280.00,3,paidin7
Edo,92000682,2021-03-16,2021-03-01,2021-02-01,2021-02-08,20000.0000000000,"Nano Loan - NTB Final",26149.67,3,paidin14
Lagos,92000690,2021-03-10,2021-03-01,2021-02-01,2021-02-08,10000.0000000000,"Nano Loan - NTB Final",3066.67,3,"not paid"
Lagos,92000706,2021-03-10,2021-03-01,2021-02-01,2021-02-08,20000.0000000000,"Nano Loan - NTB Final",6133.33,3,"not paid"
Rivers,92000718,2021-04-03,2021-04-01,2021-03-01,2021-03-04,17300.0000000000,"Nano Loan - NTB Final",692.00,3,"not paid"
Lagos,92000731,2021-04-08,2021-04-01,2021-02-01,2021-02-08,7500.0000000000,"Nano Loan - NTB Final",7500.00,3,paidin7
Lagos,92000732,2021-03-08,2021-03-01,2021-02-01,2021-02-09,20000.0000000000,"Nano Loan - NTB Final",6133.33,3,paidin7
Oyo,92000751,2021-03-08,2021-03-01,2021-02-01,2021-02-10,20000.0000000000,"Nano Loan - NTB Final",6133.33,3,paidin7
FCT,92000756,2021-03-08,2021-03-01,2021-02-01,2021-02-08,20000.0000000000,"Nano Loan - NTB Final",6133.33,3,"not paid"
Lagos,92000766,2021-05-16,2021-05-01,2021-05-01,2021-05-10,9700.0000000000,"Nano Loan - NTB Final",679.00,3,paidin14
